       Time_s           01           02           03           04           05
   6.2300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3634E-03   5.2010E+00
   6.3000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3634E-03   5.2010E+00
   6.3700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3634E-03   5.2010E+00
   6.4400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3634E-03   5.2010E+00
   6.5100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3634E-03   5.2010E+00
   6.5800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3634E-03   5.2011E+00
   6.6500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3634E-03   5.2011E+00
   6.7200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3635E-03   5.2011E+00
   6.7900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3635E-03   5.2011E+00
   6.8600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3635E-03   5.2011E+00
   6.9300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3635E-03   5.2011E+00
   7.0000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3635E-03   5.2011E+00
   7.0800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3635E-03   5.2012E+00
   7.1600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3636E-03   5.2012E+00
   7.2400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3636E-03   5.2012E+00
   7.3200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3636E-03   5.2012E+00
   7.4000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3636E-03   5.2012E+00
   7.4800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3636E-03   5.2013E+00
   7.5600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3637E-03   5.2013E+00
   7.6400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3637E-03   5.2013E+00
   7.7200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3637E-03   5.2013E+00
   7.8000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3637E-03   5.2013E+00
   7.8800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3637E-03   5.2013E+00
   7.9600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3637E-03   5.2014E+00
   8.0400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3638E-03   5.2014E+00
   8.1300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3638E-03   5.2014E+00
   8.2200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3638E-03   5.2014E+00
   8.3100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3638E-03   5.2014E+00
   8.4000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3639E-03   5.2015E+00
   8.4900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3639E-03   5.2015E+00
   8.5800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3639E-03   5.2015E+00
   8.6700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3639E-03   5.2015E+00
   8.7600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3639E-03   5.2015E+00
   8.8500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3640E-03   5.2016E+00
   8.9400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3640E-03   5.2016E+00
   9.0300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3640E-03   5.2016E+00
   9.1300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3640E-03   5.2016E+00
   9.2300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3640E-03   5.2016E+00
   9.3300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3641E-03   5.2017E+00
   9.4300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3641E-03   5.2017E+00
   9.5300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3641E-03   5.2017E+00
   9.6300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3641E-03   5.2017E+00
   9.7300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3642E-03   5.2018E+00
   9.8300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3642E-03   5.2018E+00
   9.9300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3642E-03   5.2018E+00
   1.0030E-12   4.0266E+02   4.0000E+02   6.7733E+04   5.3642E-03   5.2018E+00
   1.0140E-12   4.0266E+02   4.0000E+02   6.7733E+04   5.3643E-03   5.2018E+00
